q_inv_angstrom,debye_radial_myosinII_10s,debye_kdt_myosinII_10s,prop_radial_myosinII_10s,prop_kdt_myosinII_10s
0,175.174051,46.090411,731.41765,192.529523
0.02,113.475815,42.290196,473.848645,176.655582
0.04,33.275788,32.319654,139.011866,135.006846
0.06,9.055997,19.756775,37.851841,82.527678
0.08,4.476457,8.600691,18.702667,35.922128
0.1,2.045105,1.502895,8.526328,6.266487
0.12,1.281919,-1.111173,5.332532,-4.660035
0.14,0.805174,-0.686044,3.341869,-2.889075
0.16,0.516765,0.663055,2.135203,2.744981
0.18,0.364721,1.384953,1.501735,5.762002
0.2,0.30824,1.078251,1.268138,4.483182
0.22,0.23707,0.258375,0.971204,1.059352
0.24,0.166866,-0.338325,0.676096,-1.434621
0.26,0.109529,-0.357221,0.43359,-1.516731
0.28,0.088033,0.025785,0.340596,0.079896
0.3,0.086164,0.381168,0.331144,1.562537
0.32,0.080018,0.417245,0.30555,1.7132
0.34,0.067941,0.170384,0.256279,0.6831
0.36,0.063287,-0.101146,0.23769,-0.450079
0.38,0.061374,-0.172437,0.229954,-0.747615
0.4,0.061965,-0.0268,0.231477,-0.139772
0.42,0.058237,0.170917,0.215206,0.685426
0.44,0.052538,0.242628,0.191676,0.984671
0.46,0.043746,0.145901,0.155531,0.580877
0.48,0.038362,-0.013761,0.133247,-0.085536
0.5,0.038246,-0.09449,0.132687,-0.422389
