q_inv_angstrom,debye_radial_perlecan,debye_kdt_perlecan,prop_radial_perlecan,prop_kdt_perlecan
0,176.68159,29.218252,-236.378917,-39.066287
0.02,102.145289,26.649445,-136.636227,-35.631173
0.04,15.884696,19.94929,-21.23004,-26.671503
0.06,1.664557,11.622591,-2.2197,-15.536886
0.08,1.656248,4.43175,-2.205932,-5.921276
0.1,1.004959,0.140159,-1.338937,-0.182509
0.12,0.805347,-1.084536,-1.073299,1.455608
0.14,0.774776,-0.370473,-1.030953,0.50194
0.16,0.558003,0.751425,-0.737802,-0.996335
0.18,0.405529,1.233292,-0.531306,-1.638367
0.2,0.294404,0.895019,-0.380225,-1.183898
0.22,0.219934,0.204829,-0.279584,-0.259543
0.24,0.151105,-0.260201,-0.187859,0.362847
0.26,0.111614,-0.254112,-0.135359,0.354568
0.28,0.099593,0.055449,-0.118925,-0.059798
0.3,0.082693,0.322312,-0.096388,-0.416997
0.32,0.052892,0.326978,-0.056984,-0.423376
0.34,0.038612,0.11288,-0.037875,-0.137088
0.36,0.032061,-0.108782,-0.029339,0.159293
0.38,0.02663,-0.162823,-0.022394,0.231426
0.4,0.024122,-0.042964,-0.019,0.07095
0.42,0.020376,0.115693,-0.013959,-0.141374
0.44,0.019473,0.172248,-0.012844,-0.217065
0.46,0.019786,0.095766,-0.013385,-0.114779
0.48,0.019126,-0.028483,-0.012546,0.051378
0.5,0.018273,-0.088981,-0.011449,0.132214
