q_inv_angstrom,intensity
0.000000,31.009733
0.020000,30.895955
0.040000,30.556501
0.060000,29.996964
0.080000,29.226533
0.100000,28.257791
0.120000,27.106447
0.140000,25.790995
0.160000,24.332321
0.180000,22.753261
0.200000,21.078120
0.220000,19.332172
0.240000,17.541138
0.260000,15.730672
0.280000,13.925854
0.300000,12.150710
0.320000,10.427763
0.340000,8.777633
0.360000,7.218688
0.380000,5.766751
0.400000,4.434884
0.420000,3.233234
0.440000,2.168948
0.460000,1.246167
0.480000,0.466082
0.500000,-0.172934
