q_inv_angstrom,intensity
0.000000,123269.563268
0.020000,120607.252593
0.040000,112933.891352
0.060000,101134.395521
0.080000,86510.297032
0.100000,70560.678666
0.120000,54746.177160
0.140000,40284.104957
0.160000,28011.726889
0.180000,18335.771476
0.200000,11264.999910
0.220000,6504.863185
0.240000,3583.135019
0.260000,1974.464975
0.280000,1198.831516
0.300000,880.630371
0.320000,767.581082
0.340000,718.295986
0.360000,672.245041
0.380000,615.784954
0.400000,554.210476
0.420000,494.499968
0.440000,438.577283
0.460000,383.826076
0.480000,326.663461
0.500000,265.785140
